Date,Open,High,Low,Close,Adj Close,Volume,Ticker
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.100178,469033600,AAPL
1980-12-15,0.12221,0.12221,0.121652,0.121652,0.094952,175884800,AAPL
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.087983,105728000,AAPL
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.09016,86441600,AAPL
1980-12-18,0.118862,0.11942,0.118862,0.118862,0.092774,73449600,AAPL
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.098436,48630400,AAPL
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.103227,37363200,AAPL
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.107583,46950400,AAPL
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.113245,48003200,AAPL
1980-12-26,0.158482,0.15904,0.158482,0.158482,0.123699,55574400,AAPL
1980-12-29,0.160714,0.161272,0.160714,0.160714,0.125441,93161600,AAPL
1980-12-30,0.157366,0.157366,0.156808,0.156808,0.122392,68880000,AAPL
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.118908,35750400,AAPL
1981-01-02,0.154018,0.155134,0.154018,0.154018,0.120214,21660800,AAPL
1981-01-05,0.151228,0.151228,0.15067,0.15067,0.117601,35728000,AAPL
1981-01-06,0.144531,0.144531,0.143973,0.143973,0.112374,45158400,AAPL
1981-01-07,0.138393,0.138393,0.137835,0.137835,0.107583,55686400,AAPL
1981-01-08,0.135603,0.135603,0.135045,0.135045,0.105406,39827200,AAPL
1981-01-09,0.142299,0.142857,0.142299,0.142299,0.111067,21504000,AAPL
1981-01-12,0.142299,0.142299,0.141183,0.141183,0.110196,23699200,AAPL
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.106277,23049600,AAPL
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.106712,14291200,AAPL
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.10889,14067200,AAPL
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.108019,13395200,AAPL
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.114552,41574400,AAPL
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.111067,30083200,AAPL
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.113245,15904000,AAPL
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.114552,35548800,AAPL
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.114116,11222400,AAPL
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.112374,24640000,AAPL
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.111503,23699200,AAPL
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.108019,28156800,AAPL
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.104099,43904000,AAPL
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.098436,46188800,AAPL
1981-02-02,0.11942,0.11942,0.118862,0.118862,0.092774,23766400,AAPL
1981-02-03,0.123326,0.123884,0.123326,0.123326,0.096259,19152000,AAPL
1981-02-04,0.12779,0.128348,0.12779,0.12779,0.099743,27865600,AAPL
1981-02-05,0.12779,0.128906,0.12779,0.12779,0.099743,7929600,AAPL
1981-02-06,0.128348,0.128906,0.128348,0.128348,0.100178,13865600,AAPL
1981-02-09,0.122768,0.122768,0.121652,0.121652,0.094952,16755200,AAPL
1981-02-10,0.121652,0.12221,0.121652,0.121652,0.094952,18345600,AAPL
1981-02-11,0.118304,0.118304,0.117746,0.117746,0.091903,13843200,AAPL
1981-02-12,0.117188,0.117188,0.116629,0.116629,0.091031,14560000,AAPL
1981-02-13,0.114955,0.114955,0.113839,0.113839,0.088854,11155200,AAPL
1981-02-17,0.116629,0.117188,0.116629,0.116629,0.091031,12275200,AAPL
1981-02-18,0.121652,0.122768,0.121652,0.121652,0.094952,19241600,AAPL
1981-02-19,0.114955,0.114955,0.114397,0.114397,0.089289,22310400,AAPL
1981-02-20,0.108817,0.108817,0.108259,0.108259,0.084499,24371200,AAPL
1981-02-23,0.109933,0.110491,0.109933,0.109933,0.085805,14112000,AAPL
1981-02-24,0.107143,0.107143,0.106027,0.106027,0.082756,16979200,AAPL
1981-02-25,0.112723,0.113281,0.112723,0.112723,0.087983,19488000,AAPL
1981-02-26,0.114397,0.114955,0.114397,0.114397,0.089289,10841600,AAPL
1981-02-27,0.118304,0.11942,0.118304,0.118304,0.092339,14761600,AAPL
1981-03-02,0.118862,0.11942,0.118862,0.118862,0.092774,11760000,AAPL
1981-03-03,0.117746,0.117746,0.117188,0.117188,0.091468,16172800,AAPL
1981-03-04,0.116629,0.116629,0.116071,0.116071,0.090596,13708800,AAPL
1981-03-05,0.116071,0.116071,0.115513,0.115513,0.09016,5376000,AAPL
1981-03-06,0.115513,0.115513,0.114397,0.114397,0.089289,11603200,AAPL
1981-03-09,0.106027,0.106027,0.105469,0.105469,0.082321,15321600,AAPL
1981-03-10,0.101004,0.101004,0.100446,0.100446,0.0784,28380800,AAPL
1981-03-11,0.097656,0.097656,0.09654,0.09654,0.075352,29859200,AAPL
1981-03-12,0.100446,0.101004,0.100446,0.100446,0.0784,59248000,AAPL
1981-03-13,0.099888,0.099888,0.09933,0.09933,0.077529,231302400,AAPL
1981-03-16,0.103237,0.104353,0.103237,0.103237,0.080579,37228800,AAPL
1981-03-17,0.108259,0.109375,0.108259,0.108259,0.084499,43747200,AAPL
1981-03-18,0.114955,0.116071,0.114955,0.114955,0.089725,36937600,AAPL
1981-03-19,0.114397,0.114397,0.113839,0.113839,0.088854,37811200,AAPL
1981-03-20,0.114955,0.116071,0.114955,0.114955,0.089725,14604800,AAPL
1981-03-23,0.11942,0.120536,0.11942,0.11942,0.09321,22019200,AAPL
1981-03-24,0.11942,0.11942,0.118862,0.118862,0.092774,28156800,AAPL
1981-03-25,0.117746,0.117746,0.116629,0.116629,0.091031,7056000,AAPL
1981-03-26,0.114955,0.114955,0.114397,0.114397,0.089289,12275200,AAPL
1981-03-27,0.111049,0.111049,0.110491,0.110491,0.086241,12252800,AAPL
1981-03-30,0.110491,0.111607,0.110491,0.110491,0.086241,9900800,AAPL
1981-03-31,0.110491,0.110491,0.109375,0.109375,0.08537,15993600,AAPL
1981-04-01,0.108817,0.108817,0.108259,0.108259,0.084499,34070400,AAPL
1981-04-02,0.117746,0.118304,0.117746,0.117746,0.091903,31404800,AAPL
1981-04-03,0.118304,0.118862,0.118304,0.118304,0.092339,16486400,AAPL
1981-04-06,0.116629,0.116629,0.116071,0.116071,0.090596,22803200,AAPL
1981-04-07,0.115513,0.115513,0.114955,0.114955,0.089725,10684800,AAPL
1981-04-08,0.120536,0.121652,0.120536,0.120536,0.094081,21952000,AAPL
1981-04-09,0.122768,0.123326,0.122768,0.122768,0.095823,12499200,AAPL
1981-04-10,0.124442,0.125,0.124442,0.124442,0.09713,33465600,AAPL
1981-04-13,0.124442,0.125,0.124442,0.124442,0.09713,16060800,AAPL
1981-04-14,0.124442,0.125,0.124442,0.124442,0.09713,6652800,AAPL
1981-04-15,0.118862,0.118862,0.118304,0.118304,0.092339,34048000,AAPL
1981-04-16,0.112165,0.112165,0.111607,0.111607,0.087112,23878400,AAPL
1981-04-20,0.114955,0.115513,0.114955,0.114955,0.089725,35347200,AAPL
1981-04-21,0.122768,0.123326,0.122768,0.122768,0.095823,28537600,AAPL
1981-04-22,0.127232,0.12779,0.127232,0.127232,0.099307,18995200,AAPL
1981-04-23,0.13058,0.131138,0.13058,0.13058,0.101921,58016000,AAPL
1981-04-24,0.13058,0.13058,0.129464,0.129464,0.10105,35056000,AAPL
1981-04-27,0.128906,0.128906,0.128348,0.128348,0.100178,38528000,AAPL
1981-04-28,0.126674,0.126674,0.126116,0.126116,0.098436,32188800,AAPL
1981-04-29,0.125,0.125,0.124442,0.124442,0.09713,13641600,AAPL
